,"Instructions
Enter stock symbol in cell B4",,,,,POWERED BY
,,,,,,Google Finance
,,,,,,
,nio,<< enter a symbol,,,,
,,"<< optionally, enter an exchange (ex: NASDAQ, NYSE)",,,,
,,,,,,
,Nio Inc - ADR,,,,,
,,,,,,
,Current Price,,Change,% Change,,
,9.27,,+0.53,+6.06%,,
,,,,,,
,,,,,,
,Market Cap,P/E Ratio,Beta,,,
,"107,228M",-,1.93,,,
,,,,,,70 Months
,,,,,,
,,,,,,
,nio,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,Date,Open,High,Low,Close,Volume
,"May 29, 2019",3.89,3.90,3.60,3.61,"41,690,392"
,"May 30, 2019",3.55,3.55,3.11,3.24,"55,942,228"
,"May 31, 2019",3.07,3.15,3.00,3.05,"39,383,312"
,"Jun 3, 2019",2.98,3.06,2.74,2.96,"51,792,961"
,"Jun 4, 2019",3.00,3.11,2.97,3.04,"30,924,022"
,"Jun 5, 2019",3.07,3.09,2.76,2.83,"38,179,137"
,"Jun 6, 2019",2.90,2.90,2.54,2.65,"54,094,341"
,"Jun 7, 2019",2.64,2.81,2.55,2.76,"31,397,929"
,"Jun 10, 2019",2.75,2.82,2.59,2.63,"35,989,051"
,"Jun 11, 2019",2.67,2.67,2.55,2.61,"33,070,093"
,"Jun 12, 2019",2.62,2.62,2.50,2.55,"30,099,492"
,"Jun 13, 2019",2.55,2.62,2.50,2.52,"21,962,643"
,"Jun 14, 2019",2.44,2.45,2.35,2.42,"27,065,748"
,"Jun 17, 2019",2.39,2.53,2.35,2.46,"20,830,117"
,"Jun 18, 2019",2.52,2.71,2.45,2.53,"50,080,849"
,"Jun 19, 2019",2.67,2.84,2.56,2.74,"43,761,943"
,"Jun 20, 2019",2.87,3.05,2.80,2.83,"55,697,201"
,"Jun 21, 2019",2.88,2.90,2.57,2.64,"49,602,361"
,"Jun 24, 2019",2.61,2.69,2.51,2.64,"22,693,858"
,"Jun 25, 2019",2.64,2.66,2.55,2.60,"16,289,847"
,"Jun 26, 2019",2.64,2.73,2.54,2.55,"20,679,334"
,"Jun 27, 2019",2.51,2.62,2.44,2.60,"27,685,620"
,"Jun 28, 2019",2.60,2.63,2.51,2.55,"17,640,326"
,"Jul 1, 2019",2.67,2.68,2.58,2.60,"19,541,552"
,"Jul 2, 2019",2.60,2.85,2.57,2.82,"35,317,275"
,"Jul 3, 2019",2.93,3.29,2.90,3.13,"75,342,426"
,"Jul 5, 2019",3.31,3.34,3.15,3.26,"35,914,642"
,"Jul 8, 2019",3.21,3.50,3.13,3.49,"40,423,954"
,"Jul 9, 2019",3.58,3.90,3.42,3.69,"87,406,073"
,"Jul 10, 2019",3.95,4.00,3.60,3.68,"85,126,060"
,"Jul 11, 2019",3.64,3.68,3.32,3.42,"57,070,344"
,"Jul 12, 2019",3.34,3.64,3.32,3.45,"39,432,181"
,"Jul 15, 2019",3.49,3.52,3.34,3.39,"19,833,129"
,"Jul 16, 2019",3.40,3.45,3.26,3.30,"25,764,637"
,"Jul 17, 2019",3.28,3.52,3.25,3.44,"26,704,968"
,"Jul 18, 2019",3.47,3.50,3.31,3.43,"17,652,624"
,"Jul 19, 2019",3.43,3.48,3.36,3.37,"13,784,331"
,"Jul 22, 2019",3.38,3.45,3.31,3.38,"12,376,944"
,"Jul 23, 2019",3.43,3.49,3.37,3.46,"12,462,047"
,"Jul 24, 2019",3.45,3.75,3.44,3.67,"38,844,783"
,"Jul 25, 2019",3.68,3.72,3.50,3.50,"26,513,325"
,"Jul 26, 2019",3.56,3.62,3.50,3.51,"15,606,285"
,"Jul 29, 2019",3.55,3.58,3.32,3.46,"25,890,697"
,"Jul 30, 2019",3.43,3.44,3.35,3.38,"14,127,899"
,"Jul 31, 2019",3.38,3.53,3.36,3.47,"19,917,224"
,"Aug 1, 2019",3.45,3.51,3.20,3.28,"28,758,382"
,"Aug 2, 2019",3.21,3.33,3.16,3.27,"17,211,310"
,"Aug 5, 2019",3.14,3.14,2.85,2.95,"38,736,177"
,"Aug 6, 2019",3.09,3.14,3.00,3.08,"23,455,749"
,"Aug 7, 2019",3.04,3.09,2.93,3.09,"18,090,390"
